,z>=0.0,z>=0.5,z>=1.0,z>=1.5,z>=2.0,v3_best,v3_gross,N225_B&H
2024-10-11,-7.780959310817575e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0057111495621489095
2024-10-15,-0.0006677372080803178,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.007694579934974355
2024-10-16,-0.004320661187983322,-0.0043715031823837675,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018297166681625288
2024-10-17,-0.0010758998845302576,-0.00026590593351272164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.006868486704644794
2024-10-18,-0.0009874551113564338,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001813323910166087
2024-10-21,-0.00012573970626941782,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0006964396801066863
2024-10-22,0.0027842015062461327,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013930077660513907
2024-10-23,-0.0019601243538520208,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007994946235618694
2024-10-24,-0.003173395996917034,0.0,0.0,0.0,0.0,0.0,0.0,0.0010085245853239666
2024-10-25,-0.0014769958088858795,-0.001376527743128497,-0.001376527743128497,-0.001376527743128497,-0.0007302087830043571,-0.001376527743128497,-0.001076527743128497,-0.006013303863863673
2024-10-28,-0.0031927854651765475,-0.0003,-0.0003,-0.0003,-0.00015914146009395606,-0.0003,0.0,0.01824156776184216
2024-10-29,0.005837842471625577,0.00587599282065827,0.0,0.0,0.0,0.0,0.0,0.007722946112806106
2024-10-30,-0.0018402827808561494,-0.0001846290470339497,0.0,0.0,0.0,0.0,0.0,0.00960605630371969
2024-10-31,-0.002530662517766272,-0.002426371245576672,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00499372850077151
2024-11-01,-0.001320060602933217,-0.0002587431789434635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02629337917799457
2024-11-05,-0.0026979373053743036,0.0,0.0,0.0,0.0,0.0,0.0,0.011069275098698927
2024-11-06,-0.003625459550982499,0.0,0.0,0.0,0.0,0.0,0.0,0.026141029043489583
2024-11-07,-0.0002996380557492207,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002514185145183756
2024-11-08,0.006807586332007553,0.006815474664941446,0.0057843534387124725,-0.0,-0.0,-0.0,-0.0,0.0030207383897125073
2024-11-11,-0.002945651715036357,-0.002945651715036357,-0.0029910390700007747,-0.003245651715036357,-0.0017109300726553586,-0.003245651715036357,-0.002945651715036357,0.0008341496000581206
2024-11-12,0.0011266479966589448,-0.0003,-0.0003,-0.0003,-0.0001581435923696631,-0.0003,-0.0,-0.0039771632513316835
2024-11-13,0.01490666873707854,0.014845764759532554,0.009583346924965284,-0.0,-0.0,-0.0,-0.0,-0.016619976490730104
2024-11-14,-0.010246101795100281,-0.010246101795100281,-0.00657785438057044,-0.0,-0.0,-0.0,-0.0,-0.004802504250840722
2024-11-15,-0.001043665446566908,-0.0003,-0.00019256376957499656,-0.0,-0.0,-0.0,-0.0,0.0027821199478283987
