,Alpha Only (≥2),"Alpha+PCA (≥2,top30%)","Alpha+PCA (≥2,top50%)",Alpha Only (≥3),JP Equal-Weight B&H
2018-02-05,-0.020941923366299478,-0.024188354459133442,-0.022986468011732722,-0.011222812159537474,-0.02045933127285901
2018-02-06,-0.022536881449142388,-0.03738748775104217,-0.04079352283765103,-0.024059394089694142,-0.04073592329816282
2018-02-07,-0.0021202170308217212,0.0010045267316267231,0.0029597796143260987,0.0029752232388841377,0.0058033263231084264
2018-02-08,-0.0010013358650874,0.007683679556319161,0.005281333760559381,0.0036073100717820463,0.004468752647729634
2018-02-09,-0.004450277863793117,-0.010490074251327289,-0.006981178895466003,-0.0015232754164044597,-0.022058257621921696
2018-02-12,0.0,0.0,0.0,-0.00015,0.0
2018-02-13,-0.011521749610267189,0.006480331129500854,0.0043288148791574286,-0.029733782359233872,-0.010253470522820898
2018-02-14,-0.004558500662780404,1.3670233252845772e-05,-0.00439841219284369,-0.004411634412783173,-0.006936303856173341
2018-02-15,0.0015523332858833022,0.007875477018973263,0.007170632725931405,0.0031631933807124975,0.007983372034641063
2018-02-16,0.017771556219255084,0.011491309035037414,0.01827590791128291,0.0029738872675623526,0.011507055260372292
2018-02-19,0.01283337384083908,0.014204476029322807,0.014251822618771608,0.010313720482307493,0.019580098055014195
2018-02-20,-0.013728245563712937,-0.013174691972409884,-0.012719974015060174,-0.003484114131870699,-0.00865007973797632
2018-02-21,-0.003608193458209886,-0.003822188839319391,-0.007476536937589768,-0.0042810888792022845,-0.0047449083110863615
2018-02-22,-0.011480504630329774,-0.00837414408299875,-0.008780055790113664,-0.004404847507925865,-0.009340305114488334
2018-02-23,0.008973350183126836,0.008743173344516155,0.008041802280671126,0.003348219205643077,0.010137087815971753
2018-02-26,0.007535627687248367,0.005581782416561661,0.005067696363076918,0.00756887394934762,0.00830821250770698
2018-02-27,0.008276665556444738,0.013241140414845944,0.011152536068380941,0.004087781051254588,0.010046604896481862
2018-02-28,-0.020864931761346982,-0.01718407292422799,-0.01747514603608013,-0.011867832439885824,-0.016413468462434237
2018-03-01,-0.026743420048986406,-0.008320879418758653,-0.017695553276371893,-0.008336187604483845,-0.017335275994512223
2018-03-02,-0.016319775244762903,-0.01025806939340027,-0.017760917312681593,-0.01329047496134677,-0.020510868109157917
2018-03-05,-0.014641152948477497,-0.0006988544193637709,-0.0028499251233871418,-0.0049705078779489625,-0.005493126672275234
2018-03-06,0.015542548900147689,0.01009173682527594,0.011529614203137575,0.0038606480856273424,0.01103804165285526
2018-03-07,-0.008208396165231032,-0.006898940499022844,-0.019966556413867145,0.0009482411526948336,-0.00913342417437005
